time,springDeflFL,springDeflFR,camberFL,camberFR,cmComFL,cmComFR,cmCamKinFL,cmCamKinFR,cmCamFL,cmCamFR,cmPitchCenterL,cmPitchCenterR
20.5700000000022,-0.00239628213106346,-0.00239659855915529,-0.000708265547694135,0.000708370253397422,-0.00318760215304792,-0.00318791624158621,-0.000933608680497855,0.000933713221456856,-0.00135043077170849,0.00135045312345028,1.63094365596771,1.63096404075623
20.5800000000022,-0.00239628289163978,-0.00239659779857897,-0.000708265790056974,0.000708369982472325,-0.00318760285153985,-0.00318791554309428,-0.000933608913328499,0.000933712988626212,-0.00135043077170849,0.00135045300703496,1.63094365596771,1.63096404075623
20.5900000000022,-0.00239628354049838,-0.00239659703326192,-0.000708265999459135,0.000708369709989185,-0.00318760355003178,-0.00318791484460235,-0.000933609146159142,0.000933712755795568,-0.00135043077170849,0.00135045300703496,1.630943775177,1.63096404075623
20.6000000000022,-0.00239628459599295,-0.00239659666536985,-0.000708266329108393,0.000708369554821093,-0.00318760424852371,-0.00318791414611042,-0.000933609378989786,0.000933712522964925,-0.00135043077170849,0.00135045300703496,1.630943775177,1.63096392154694
20.6100000000022,-0.00239628537038221,-0.00239659589098058,-0.000708266575725611,0.00070836927936235,-0.00318760494701564,-0.00318791344761848,-0.00093360961182043,0.000933712290134281,-0.00135043077170849,0.00135045300703496,1.630943775177,1.63096392154694
20.6200000000022,-0.0023962861490802,-0.00239659511228259,-0.000708266823668636,0.000708369002492765,-0.00318760564550757,-0.00318791274912655,-0.000933609902858734,0.000933712057303637,-0.00135043077170849,0.00135045300703496,1.630943775177,1.63096392154694
20.6300000000022,-0.00239628681550341,-0.00239659432940092,-0.000708267038476147,0.000708368724256529,-0.00318760657683015,-0.00318791181780398,-0.000933610135689378,0.000933711824472994,-0.00135043088812381,0.00135045300703496,1.63094389438629,1.63096392154694
20.6400000000022,-0.0023962876024096,-0.00239659354249473,-0.000708267288941288,0.000708368444708634,-0.00318760727532208,-0.00318791111931205,-0.000933610368520021,0.000933711533434689,-0.00135043088812381,0.00135045289061964,1.63094389438629,1.63096392154694
20.6500000000023,-0.00239628839320387,-0.00239659286815892,-0.000708267540600204,0.000708368198316064,-0.00318760797381401,-0.00318791042082012,-0.000933610601350665,0.000933711300604045,-0.00135043088812381,0.00135045289061964,1.63094389438629,1.63096380233765
20.6600000000023,-0.00239628918774981,-0.00239659207361298,-0.000708267793409545,0.000708367916283887,-0.00318760867230594,-0.00318790972232819,-0.00093361089238897,0.000933711067773402,-0.00135043088812381,0.00135045289061964,1.63094389438629,1.63096380233765
20.6700000000023,-0.00239628998589962,-0.00239659127546317,-0.000708268047323427,0.000708367633083171,-0.00318760937079787,-0.00318790902383626,-0.000933611125219613,0.000933710834942758,-0.00135043088812381,0.00135045289061964,1.63094389438629,1.63096380233765
20.6800000000023,-0.00239629067105842,-0.00239659047384591,-0.000708268267877169,0.000708367348761464,-0.0031876100692898,-0.00318790832534432,-0.000933611358050257,0.000933710543904454,-0.00135043100453913,0.00135045289061964,1.63094401359558,1.63096380233765
